image_path,object_filename,memscore
img/things/caviar.png,caviar.png,0.9209563136100769
img/things/cd_player.png,cd_player.png,0.8095751404762268
img/things/celery.png,celery.png,0.8290926814079285
img/things/cello.png,cello.png,0.7979931831359863
img/things/cellphone.png,cellphone.png,0.9440553784370422
img/things/cement_mixer.png,cement_mixer.png,0.8953463435173035
img/things/centerpiece.png,centerpiece.png,0.789802074432373
img/things/centrifuge.png,centrifuge.png,0.752765953540802
img/things/cereal.png,cereal.png,0.8378905057907104
img/things/chain.png,chain.png,0.799907386302948
img/things/chainsaw.png,chainsaw.png,0.8360699415206909
img/things/chair.png,chair.png,0.8601353168487549
img/things/chalice.png,chalice.png,0.7504447102546692
img/things/chalk.png,chalk.png,0.9160591959953308
img/things/chalkboard.png,chalkboard.png,0.8398388624191284
img/things/champagne.png,champagne.png,0.9200881123542786
img/things/chandelier.png,chandelier.png,0.855678379535675
img/things/chaps.png,chaps.png,0.7959394454956055
img/things/charcoal.png,charcoal.png,0.6167512536048889
img/things/charger.png,charger.png,0.9641305804252625
img/things/chariot.png,chariot.png,0.6838529109954834
img/things/checkbook.png,checkbook.png,0.8163078427314758
img/things/checkers.png,checkers.png,0.7874109148979187
img/things/cheese.png,cheese.png,0.880557656288147
img/things/cheeseburger.png,cheeseburger.png,0.8473679423332214
img/things/cheesecake.png,cheesecake.png,0.9042122960090637
img/things/cheetah.png,cheetah.png,0.7291319966316223
img/things/cherry.png,cherry.png,0.8727271556854248
img/things/chess_piece.png,chess_piece.png,0.8407162427902222
img/things/chessboard.png,chessboard.png,0.8275004625320435
img/things/chest1.png,chest1.png,0.918525755405426
img/things/chest2.png,chest2.png,0.7788923382759094
img/things/chick.png,chick.png,0.8003646731376648
img/things/chicken1.png,chicken1.png,0.9679316878318787
img/things/chicken2.png,chicken2.png,0.8648635149002075
img/things/chicken_wire.png,chicken_wire.png,0.9205288290977478
img/things/chickpea.png,chickpea.png,0.9352087378501892
img/things/chihuahua.png,chihuahua.png,0.8000167608261108
img/things/chili.png,chili.png,0.8297761678695679
img/things/chime.png,chime.png,0.7206903696060181
img/things/chimney.png,chimney.png,0.7232174873352051
img/things/chin.png,chin.png,0.8695088028907776
img/things/chinaware.png,chinaware.png,0.8145427107810974
img/things/chinchilla.png,chinchilla.png,0.8545776605606079
img/things/chip.png,chip.png,0.9227171540260315
img/things/chipmunk.png,chipmunk.png,0.8481700420379639
img/things/chips.png,chips.png,0.9385867714881897
img/things/chisel.png,chisel.png,0.8966732621192932
img/things/chive.png,chive.png,0.8417882323265076
img/things/chocolate.png,chocolate.png,0.8953417539596558
img/things/chopsticks.png,chopsticks.png,0.8866567611694336
img/things/christmas_card.png,christmas_card.png,0.8089431524276733
img/things/christmas_tree.png,christmas_tree.png,0.7674825191497803
img/things/chute.png,chute.png,0.7368241548538208
img/things/cigar.png,cigar.png,0.9124457240104675
img/things/cigarette.png,cigarette.png,0.814293622970581
img/things/cigarette_butt.png,cigarette_butt.png,0.8693839311599731
img/things/cigarette_holder.png,cigarette_holder.png,0.8647142052650452
img/things/cilantro.png,cilantro.png,0.7517237663269043
img/things/cinnamon.png,cinnamon.png,0.8822392821311951
img/things/clam.png,clam.png,0.9416192173957825
img/things/clarinet.png,clarinet.png,0.7873583436012268
img/things/clasp.png,clasp.png,0.8817375898361206
img/things/clay.png,clay.png,0.7533338069915771
img/things/cleat.png,cleat.png,0.9395321607589722
img/things/cleaver.png,cleaver.png,0.8668235540390015
img/things/clipboard.png,clipboard.png,0.8890858888626099
img/things/clipper1.png,clipper1.png,0.8547667860984802
img/things/clipper2.png,clipper2.png,0.8420958518981934
img/things/cloak.png,cloak.png,0.8054203987121582
img/things/clock.png,clock.png,0.7882375717163086
img/things/closet.png,closet.png,0.7612031102180481
img/things/clothes.png,clothes.png,0.7758556604385376
img/things/clothesline.png,clothesline.png,0.8429504632949829
img/things/clothespin.png,clothespin.png,0.9552896022796631
img/things/cloud.png,cloud.png,0.6820467710494995
img/things/clove.png,clove.png,0.8115776181221008
img/things/clover.png,clover.png,0.8801468014717102
img/things/coal.png,coal.png,0.8631492853164673
img/things/coaster.png,coaster.png,0.7977799773216248
img/things/coat.png,coat.png,0.8289473652839661
img/things/coat_rack.png,coat_rack.png,0.8952674865722656
img/things/cobra.png,cobra.png,0.8028416037559509
img/things/cockatoo.png,cockatoo.png,0.8632053732872009
img/things/cocktail.png,cocktail.png,0.8063685297966003
img/things/coconut.png,coconut.png,0.8271849155426025
img/things/cocoon.png,cocoon.png,0.8102757334709167
img/things/coffee.png,coffee.png,0.9376050233840942
img/things/coffee_bean.png,coffee_bean.png,0.9374780654907227
img/things/coffee_filter.png,coffee_filter.png,0.8779379725456238
img/things/coffee_pot.png,coffee_pot.png,0.7718832492828369
img/things/coffee_table.png,coffee_table.png,0.7772438526153564
img/things/coffeemaker.png,coffeemaker.png,0.8725258111953735
img/things/coffin.png,coffin.png,0.6686110496520996
img/things/coil.png,coil.png,0.9016717076301575
img/things/coin.png,coin.png,0.8325536847114563
img/things/coleslaw.png,coleslaw.png,0.8245204091072083
img/things/collar.png,collar.png,0.863814115524292
img/things/column.png,column.png,0.8791933655738831
img/things/comb.png,comb.png,0.8048807382583618
img/things/combination_lock.png,combination_lock.png,0.9656863212585449
img/things/comic_book.png,comic_book.png,0.5787771344184875
img/things/compass.png,compass.png,0.8983715176582336
img/things/compost.png,compost.png,0.7935949563980103
img/things/computer.png,computer.png,0.807754635810852
img/things/computer_screen.png,computer_screen.png,0.7005621194839478
img/things/confetti.png,confetti.png,0.7746260166168213
img/things/contact_lens.png,contact_lens.png,0.9340029358863831
img/things/container.png,container.png,0.8176931738853455
img/things/cooker.png,cooker.png,0.9595822691917419
img/things/cookie.png,cookie.png,0.7965745329856873
img/things/cookie_cutter.png,cookie_cutter.png,0.6338115334510803
img/things/cookie_sheet.png,cookie_sheet.png,0.9028922915458679
