experiment_filename,original_filename,subcategory,category,memorability_score,type
highmem_194.jpg,n02396427_10722.jpg,wild boar,animal,0.877777777777778,highmem
lowmem_193.jpg,n02396427_23932.jpg,wild boar,animal,0.516129032258065,lowmem
lowmem_194.jpg,n02396427_941.jpg,wild boar,animal,0.462962962962963,lowmem
highmem_195.jpg,n04587559_11329.jpg,windmill,landscape,0.833333333333333,highmem
highmem_196.jpg,n04587559_11228.jpg,windmill,landscape,0.804123711340206,highmem
lowmem_195.jpg,n04587559_11217.jpg,windmill,landscape,0.484210526315789,lowmem
lowmem_196.jpg,n04587559_11688.jpg,windmill,landscape,0.414634146341463,lowmem
highmem_197.jpg,n04610013_17480.jpg,yacht,vehicle,0.846153846153846,highmem
highmem_198.jpg,n04610013_17257.jpg,yacht,vehicle,0.759615384615385,highmem
lowmem_197.jpg,n04610013_751.jpg,yacht,vehicle,0.4,lowmem
lowmem_198.jpg,n04610013_11493.jpg,yacht,vehicle,0.333333333333333,lowmem
highmem_199.jpg,n07849336_26281.jpg,yogurt,food,0.946808510638298,highmem
highmem_200.jpg,n07849336_20401.jpg,yogurt,food,0.944444444444444,highmem
lowmem_199.jpg,n07849336_28787.jpg,yogurt,food,0.647058823529412,lowmem
lowmem_200.jpg,n07849336_20909.jpg,yogurt,food,0.494949494949495,lowmem
highmem_201.jpg,000000451263.jpg,zebra,animal,0.842696629213483,highmem
highmem_202.jpg,000000569599.jpg,zebra,animal,0.820754716981132,highmem
lowmem_201.jpg,000000154770.jpg,zebra,animal,0.554455445544555,lowmem
lowmem_202.jpg,000000312205.jpg,zebra,animal,0.537190082644628,lowmem
highmem_203.jpg,n07716358_9840.jpg,zucchini,food,0.963302752293578,highmem
highmem_204.jpg,n07716358_18492.jpg,zucchini,food,0.936936936936937,highmem
lowmem_203.jpg,n07716358_19627.jpg,zucchini,food,0.707865168539326,lowmem
lowmem_204.jpg,n07716358_10251.jpg,zucchini,food,0.640449438202247,lowmem
