"rep","N","p","conv_ok"
41,50,4.65855926648169e-06,TRUE
41,60,1.87913430184216e-09,TRUE
41,80,1.7294779035206e-06,FALSE
41,100,6.27939023812861e-09,TRUE
42,15,0.0430142691214676,TRUE
42,20,0.0120182395233256,TRUE
42,30,4.2512627003663e-07,TRUE
42,40,2.00027961962814e-05,TRUE
42,50,3.23244377430167e-05,TRUE
42,60,6.75018967300539e-07,TRUE
42,80,1.50351170296828e-08,TRUE
42,100,3.51252015568101e-09,TRUE
43,15,0.00208782326185407,FALSE
43,20,0.0140742993589073,FALSE
43,30,0.0187423597112884,FALSE
43,40,0.0204836291287718,TRUE
43,50,0.00117412891529506,TRUE
43,60,0.000273993518390226,TRUE
43,80,0.0128657028651963,TRUE
43,100,0.00030061366640201,TRUE
44,15,0.327364667243537,FALSE
44,20,0.155518523015937,TRUE
44,30,0.00270916662856325,TRUE
44,40,0.00482692016107929,TRUE
44,50,5.7973766725028e-05,TRUE
44,60,0.000143495624650698,TRUE
44,80,4.36421735449897e-05,TRUE
44,100,0.0002032596270175,TRUE
45,15,0.370394529263839,TRUE
45,20,0.0396885708353338,TRUE
45,30,0.271724023380219,TRUE
45,40,0.124059776161943,TRUE
45,50,0.000577877853667376,TRUE
45,60,0.0162607502652924,TRUE
45,80,0.000643915458606644,TRUE
45,100,0.000458962046512885,TRUE
46,15,0.563572061964899,TRUE
46,20,0.0001307707065476,TRUE
46,30,0.0404161673323875,TRUE
46,40,6.11076076360777e-05,FALSE
46,50,1.95942868194399e-05,TRUE
46,60,0.000190020190613843,TRUE
46,80,3.05645891349517e-07,TRUE
46,100,6.73464916111312e-07,TRUE
47,15,0.96701632545598,TRUE
47,20,0.195322829182872,TRUE
47,30,0.00367938095713116,TRUE
47,40,0.0412569371718906,TRUE
47,50,0.0219270409106806,TRUE
47,60,0.0731398230014021,TRUE
47,80,0.000247755863442305,TRUE
47,100,0.00027572754070417,TRUE
48,15,0.103078813706102,TRUE
48,20,0.000314203577464167,TRUE
48,30,2.37040027063092e-06,TRUE
48,40,2.21753654500938e-05,TRUE
48,50,0.000151563757560128,TRUE
48,60,2.5316989014727e-09,TRUE
48,80,4.86711514803097e-10,TRUE
48,100,8.8888755993735e-10,FALSE
49,15,0.0977067392799125,TRUE
49,20,0.535427997704792,TRUE
49,30,0.0444282454093303,FALSE
49,40,0.0305171658620056,TRUE
49,50,0.00769976181491036,TRUE
49,60,0.0588758960437497,TRUE
49,80,0.00120912360790619,TRUE
49,100,0.0062376223309856,TRUE
50,15,0.0143078174953684,TRUE
50,20,0.0687714095470909,TRUE
50,30,0.00450385074938687,TRUE
50,40,0.00715486633726047,TRUE
50,50,0.00231067252240812,TRUE
50,60,0.00838995047836965,TRUE
50,80,0.000258212691762635,TRUE
50,100,2.01409302515798e-06,TRUE
51,15,0.352081606909655,FALSE
51,20,0.118623563081754,TRUE
51,30,0.0118354368999922,TRUE
51,40,0.0264035887733095,TRUE
51,50,0.0611138757945682,TRUE
51,60,0.0136857174124942,TRUE
51,80,0.017184865752899,TRUE
51,100,7.74505353329882e-05,TRUE
52,15,0.0226727231566471,TRUE
52,20,0.070934972935398,TRUE
52,30,0.00067773774804554,FALSE
52,40,0.000895623695734649,TRUE
52,50,6.44373233080347e-06,TRUE
52,60,1.5423399189075e-08,TRUE
52,80,5.03657745485065e-08,FALSE
52,100,1.15503713110889e-07,TRUE
53,15,0.127690810502929,TRUE
53,20,0.00368184039616862,TRUE
53,30,5.71500167091131e-05,TRUE
53,40,0.000127594297506699,TRUE
53,50,3.07651620764476e-05,TRUE
53,60,7.51369257762137e-07,TRUE
53,80,1.59166086912916e-08,TRUE
53,100,2.21179595820245e-08,TRUE
54,15,0.111198596017096,TRUE
