image_filename,image_filepath,memorability_score,recognizability,nameability,concreteness_score,category27_label,category27_id
wolf_02s.jpg,wolf/wolf_02s.jpg,0.85,0.866666667,0.764705882,4.79,animal,1
wolf_03s.jpg,wolf/wolf_03s.jpg,0.857142857,0.75,0.95,4.79,animal,1
wolf_04s.jpg,wolf/wolf_04s.jpg,0.833333333,0.923076923,0.941176471,4.79,animal,1
wolf_05n.jpg,wolf/wolf_05n.jpg,0.829268293,0.764705882,0.947368421,4.79,animal,1
wolf_06n.jpg,wolf/wolf_06n.jpg,0.75,0.8,0.882352941,4.79,animal,1
wolf_07s.jpg,wolf/wolf_07s.jpg,0.785714286,0.8,0.842105263,4.79,animal,1
wolf_08n.jpg,wolf/wolf_08n.jpg,0.897435897,0.363636364,0.470588235,4.79,animal,1
wolf_09s.jpg,wolf/wolf_09s.jpg,0.9,0.75,0.9375,4.79,animal,1
wolf_10s.jpg,wolf/wolf_10s.jpg,0.794871795,1.0,0.941176471,4.79,animal,1
wolf_11n.jpg,wolf/wolf_11n.jpg,0.818181818,0.9,0.842105263,4.79,animal,1
wolf_12n.jpg,wolf/wolf_12n.jpg,0.775,0.705882353,0.888888889,4.79,animal,1
wolf_13n.jpg,wolf/wolf_13n.jpg,0.87804878,0.8,0.823529412,4.79,animal,1
woman_01b.jpg,woman/woman_01b.jpg,0.880952381,0.785714286,0.666666667,4.46,,
woman_02s.jpg,woman/woman_02s.jpg,0.880952381,0.714285714,0.368421053,4.46,,
woman_03s.jpg,woman/woman_03s.jpg,0.875,0.444444444,0.777777778,4.46,,
woman_04s.jpg,woman/woman_04s.jpg,0.9,0.647058824,0.894736842,4.46,,
woman_05s.jpg,woman/woman_05s.jpg,0.87804878,0.6875,0.733333333,4.46,,
woman_06s.jpg,woman/woman_06s.jpg,0.829268293,0.588235294,0.75,4.46,,
woman_07s.jpg,woman/woman_07s.jpg,0.85,0.866666667,0.705882353,4.46,,
woman_08s.jpg,woman/woman_08s.jpg,0.891891892,0.625,0.722222222,4.46,,
woman_09s.jpg,woman/woman_09s.jpg,0.829268293,0.4,0.45,4.46,,
woman_10s.jpg,woman/woman_10s.jpg,0.88372093,0.5,0.611111111,4.46,,
woman_11s.jpg,woman/woman_11s.jpg,0.794871795,0.666666667,0.5625,4.46,,
woman_12s.jpg,woman/woman_12s.jpg,0.76744186,0.6875,0.6875,4.46,,
wood_01b.jpg,wood/wood_01b.jpg,0.853658537,0.75,0.882352941,4.85,,
wood_02s.jpg,wood/wood_02s.jpg,0.923076923,0.75,0.736842105,4.85,,
wood_03s.jpg,wood/wood_03s.jpg,0.769230769,0.785714286,0.882352941,4.85,,
wood_04s.jpg,wood/wood_04s.jpg,0.825,0.722222222,0.526315789,4.85,,
wood_05s.jpg,wood/wood_05s.jpg,0.904761905,0.785714286,0.882352941,4.85,,
wood_06s.jpg,wood/wood_06s.jpg,0.87804878,1.0,0.882352941,4.85,,
wood_07s.jpg,wood/wood_07s.jpg,0.833333333,0.538461538,0.111111111,4.85,,
wood_08s.jpg,wood/wood_08s.jpg,0.846153846,0.526315789,0.9375,4.85,,
wood_09s.jpg,wood/wood_09s.jpg,0.692307692,0.5,0.888888889,4.85,,
wood_10s.jpg,wood/wood_10s.jpg,0.780487805,0.733333333,0.222222222,4.85,,
wood_11s.jpg,wood/wood_11s.jpg,0.692307692,0.85,0.789473684,4.85,,
wood_12s.jpg,wood/wood_12s.jpg,0.75,0.857142857,0.789473684,4.85,,
wood_13s.jpg,wood/wood_13s.jpg,0.85,0.461538462,0.333333333,4.85,,
wood_14s.jpg,wood/wood_14s.jpg,0.625,0.769230769,0.75,4.85,,
wooden_leg_01b.jpg,wooden_leg/wooden_leg_01b.jpg,0.975609756,0.615384615,0.157894737,4.93,,
wooden_leg_02s.jpg,wooden_leg/wooden_leg_02s.jpg,0.761904762,0.272727273,0.235294118,4.93,,
wooden_leg_03s.jpg,wooden_leg/wooden_leg_03s.jpg,0.928571429,0.555555556,0.176470588,4.93,,
wooden_leg_04s.jpg,wooden_leg/wooden_leg_04s.jpg,0.921052632,0.461538462,0.055555556,4.93,,
wooden_leg_05s.jpg,wooden_leg/wooden_leg_05s.jpg,0.928571429,0.846153846,0.3125,4.93,,
wooden_leg_06s.jpg,wooden_leg/wooden_leg_06s.jpg,0.804878049,0.071428571,0.0,4.93,,
wooden_leg_07s.jpg,wooden_leg/wooden_leg_07s.jpg,0.769230769,0.375,0.0,4.93,,
wooden_leg_08s.jpg,wooden_leg/wooden_leg_08s.jpg,0.756097561,0.538461538,0.1875,4.93,,
wooden_leg_09s.jpg,wooden_leg/wooden_leg_09s.jpg,0.666666667,0.076923077,0.0625,4.93,,
wooden_leg_10s.jpg,wooden_leg/wooden_leg_10s.jpg,0.65,0.3125,0.052631579,4.93,,
wooden_leg_11s.jpg,wooden_leg/wooden_leg_11s.jpg,0.875,0.533333333,0.222222222,4.93,,
wooden_leg_12s.jpg,wooden_leg/wooden_leg_12s.jpg,0.805458769,0.5,0.368421053,4.93,,
workbench_01b.jpg,workbench/workbench_01b.jpg,0.846153846,0.357142857,0.166666667,4.62,furniture,12
workbench_02s.jpg,workbench/workbench_02s.jpg,0.789473684,0.444444444,0.25,4.62,furniture,12
workbench_03s.jpg,workbench/workbench_03s.jpg,0.681818182,0.176470588,0.210526316,4.62,furniture,12
workbench_04s.jpg,workbench/workbench_04s.jpg,0.857142857,0.285714286,0.176470588,4.62,furniture,12
workbench_05s.jpg,workbench/workbench_05s.jpg,0.710526316,0.214285714,0.352941176,4.62,furniture,12
workbench_06s.jpg,workbench/workbench_06s.jpg,0.666666667,0.1875,0.411764706,4.62,furniture,12
workbench_07s.jpg,workbench/workbench_07s.jpg,0.547619048,0.466666667,0.25,4.62,furniture,12
workbench_08s.jpg,workbench/workbench_08s.jpg,0.738095238,0.5,0.368421053,4.62,furniture,12
workbench_09s.jpg,workbench/workbench_09s.jpg,0.58974359,0.090909091,0.235294118,4.62,furniture,12
workbench_10s.jpg,workbench/workbench_10s.jpg,0.675,0.25,0.263157895,4.62,furniture,12
workbench_11s.jpg,workbench/workbench_11s.jpg,0.666666667,0.142857143,0.421052632,4.62,furniture,12
workbench_12s.jpg,workbench/workbench_12s.jpg,0.578947368,0.5,0.666666667,4.62,furniture,12
workbench_13s.jpg,workbench/workbench_13s.jpg,0.666666667,0.461538462,0.263157895,4.62,furniture,12
