concept_id,memorability_bin,image_name,image_filepath,source_path,memorability_score,recognizability,nameability,concreteness_score,memorability_percentile,things_file_path,category27_label,category27_id,things_category,selection_source
basketball_hoop,low,basketball_hoop_11s.jpg,images/basketball_hoop_11s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/basketball_hoop/basketball_hoop_11s.jpg,0.43902439,0.933333333,0.888888889,4.97,0.030644296330345516,basketball_hoop/basketball_hoop_11s.jpg,sports equipment,22,sports equipment,milp
bobsled,low,bobsled_15n.jpg,images/bobsled_15n.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bobsled/bobsled_15n.jpg,0.534883721,0.466666667,0.8125,4.9,0.4041216578564315,bobsled/bobsled_15n.jpg,sports equipment,22,sports equipment,milp
cleat,low,cleat_01b.jpg,images/cleat_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cleat/cleat_01b.jpg,0.487179487,0.545454545,0.85,4.5,0.1378993334865548,cleat/cleat_01b.jpg,sports equipment,22,sports equipment,milp
jump_rope,low,jump_rope_12s.jpg,images/jump_rope_12s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/jump_rope/jump_rope_12s.jpg,0.55,0.25,0.45,5.0,0.6473607599785489,jump_rope/jump_rope_12s.jpg,sports equipment,22,sports equipment,milp
snowboard,low,snowboard_03s.jpg,images/snowboard_03s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/snowboard/snowboard_03s.jpg,0.476190476,0.538461538,0.684210526,4.86,0.10917030567685589,snowboard/snowboard_03s.jpg,sports equipment,22,sports equipment,milp
anvil,low,anvil_13n.jpg,images/anvil_13n.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/anvil/anvil_13n.jpg,0.553306343,0.357142857,0.875,4.96,0.7392936489695855,anvil/anvil_13n.jpg,tool,23,tool,milp
ladder,low,ladder_14s.jpg,images/ladder_14s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/ladder/ladder_14s.jpg,0.56097561,0.888888889,0.882352941,5.0,0.7910058990270437,ladder/ladder_14s.jpg,tool,23,tool,milp
magnifier,low,magnifier_07s.jpg,images/magnifier_07s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/magnifier/magnifier_07s.jpg,0.512195122,0.470588235,0.210526316,4.4,0.24898490768405732,magnifier/magnifier_07s.jpg,tool,23,tool,milp
sawhorse,low,sawhorse_02s.jpg,images/sawhorse_02s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/sawhorse/sawhorse_02s.jpg,0.536585366,0.235294118,0.388888889,4.78,0.4462575653106565,sawhorse/sawhorse_02s.jpg,tool,23,tool,milp
soldering_iron,low,soldering_iron_08s.jpg,images/soldering_iron_08s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/soldering_iron/soldering_iron_08s.jpg,0.452380952,0.769230769,0.210526316,4.68,0.05745805561939783,soldering_iron/soldering_iron_08s.jpg,tool,23,tool,milp
watering_can,low,watering_can_05s.jpg,images/watering_can_05s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/watering_can/watering_can_05s.jpg,0.575,0.6875,0.833333333,4.76,1.1127710104956714,watering_can/watering_can_05s.jpg,tool,23,tool,milp
beachball,low,beachball_13s.jpg,images/beachball_13s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/beachball/beachball_13s.jpg,0.6,0.133333333,0.8125,4.97,1.9210143262085346,beachball/beachball_13s.jpg,toy,24,toy,milp
music_box,low,music_box_06s.jpg,images/music_box_06s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/music_box/music_box_06s.jpg,0.575,0.636363636,0.421052632,4.89,1.1127710104956714,music_box/music_box_06s.jpg,toy,24,toy,milp
noisemaker,low,noisemaker_09s.jpg,images/noisemaker_09s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/noisemaker/noisemaker_09s.jpg,0.575,0.285714286,0.266666667,4.11,1.1127710104956714,noisemaker/noisemaker_09s.jpg,toy,24,toy,milp
pinwheel,low,pinwheel_09n.jpg,images/pinwheel_09n.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/pinwheel/pinwheel_09n.jpg,0.564102564,0.583333333,0.736842105,4.66,0.8905998621006664,pinwheel/pinwheel_09n.jpg,toy,24,toy,milp
robot,low,robot_05s.jpg,images/robot_05s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/robot/robot_05s.jpg,0.608695652,1.0,1.0,4.65,2.225542020991343,robot/robot_05s.jpg,toy,24,toy,milp
scooter,low,scooter_02s.jpg,images/scooter_02s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/scooter/scooter_02s.jpg,0.525,0.75,0.823529412,4.96,0.34091779667509386,scooter/scooter_02s.jpg,toy,24,toy,milp
